item_id,not_eye_witness_in,not_eye_witness_out,informative_in,informative_out,y_in,y_out,y,tokens
0,4,0,4,0,4,0,0,important -- gt jebbush suggests federal gov't crucial storm recovery http //t.co/pvsv6qos haction 2012 sandy
1,3,1,0,4,0,4,0,chrismara816 screw sandy skipped right ahead christmas _ã´ã–â‹_ã´_â‹_ã´_âƒ_ã´_âš http //t.co/8qgz3ond chris
2,3,1,3,1,2,2,1,learning network sandy teaching tool http //t.co/ivftlglt parenting
3,4,1,2,3,2,3,0,espectacular timelapse del_huracã­ã§n sandy http //t.co/l72evxgn
4,3,1,3,1,3,1,0,nyers tough nail rt isardasorensen rainbow nyc sky_offer glimpse_hope hurricane_sandy http //t.co/gyy24rm1
5,3,1,4,0,3,1,1,nyc transport service lockdown shop closed street deserted hurricane_sandy hit http //t.co/eochjbda
6,2,1,0,3,0,3,0,rt 1010winsnewyork hurricane_sandy doesnã¤ã³â » halt nycã¤ã³â » dining scene many restaurant still open delivering http //t.co/1auxxcvv
7,2,1,2,1,1,2,0,wind picking ... sandy
8,3,1,1,3,1,3,0,furacã­â£o sandy promete tocar putedo em nova york ã¤ã³ã¬vamos pularã¤ã³ã¬ desmente jã­_nior
9,4,0,0,4,0,4,0,mentionto figure ruse http //t.co/d71bnvo1
10,4,2,4,2,2,4,0,rt_newyorkpost rainbow today 's nyc sky_offer glimpse_hope hurricane_sandy http //t.co/j5nsmeab via isardasorensen
11,3,0,0,3,0,3,0,pisces individual learn repair specific http //t.co/krr0mnuh
12,3,1,2,2,2,2,0,rt mattortega gop operative romney bundler spread false rumor sandy nyc last_night http //t.co/xlckgn2l
13,3,0,1,2,1,2,0,darla tobin-blakes wrote massive 60 million affected_hurricane sandy prayer
14,3,0,1,2,1,2,0,thought well wish staff customer friend path hurricane_sandy please stay_safe
15,3,0,0,3,0,3,0,... ..nyc never sleep sandy cooled zero het gewone leven begint langzaam weer ...
16,3,0,0,3,0,3,0,whole week school ... well thankyou sandy
17,5,1,3,3,3,3,1,ã¤ã³ã¬ knicks-nets season opener barclays center could postponed due superstorm_sandy ã¤ã³ânoooo
18,3,1,3,1,3,1,1,hurricane_sandy lash u east_coast path new_york ã¤ã³ã± live update http //t.co/ebqnxv3t via guardian
