_unit_id,_created_at,_golden,_id,_missed,_started_at,_tainted,_channel,_trust,_worker_id,_country,_region,_city,_ip,word_or_shortphrase,instruction,tweet,tweet_no,tweet_no_rt,type_of_message,type_of_messageconfidence,word_or_shortphrase_gold
240632763,1/2/2013 15:03:51,true,797143942,false,1/2/2013 15:01:51,false,instagc,0.9167,13441146,USA,GA,Cleveland,98.18.123.70,homes in the U.S. are now without power post-storm,"names a structure, road, service, line, etc. that is not working or has been damaged",RT @nytimes: More than 8 million homes in the U.S. are now without power post-storm: http://t.co/NxGQdZh8,53537,More than 8 million homes in the U.S. are now without power post-storm: http://t.co/NxGQdZh8,"Informative: damage (building, road, lines, etc.)",0.6938,"power
without power
8 million homes in the U.S. are now without power
homes
8 million homes in the U.S. are now without power
homes in the U.S. are now without power
8 million homes in the U.S. are now without power
homes in the U.S. are now without power
homes
power
without power
homes in the U.S. are now without power post-storm
8 million homes in the U.S. are now without power
homes in the U.S. are now without power
homes
power
without power
homes in the U.S. are now without power post-storm
homes in the U.S. are now without power post-storm
without power
power
homes
homes in the U.S. are now without power
8 million homes in the U.S. are now without power"
240632763,1/2/2013 15:06:13,true,797145153,false,1/2/2013 15:03:16,false,instagc,0.875,14893322,USA,VA,Lynchburg,96.235.212.161,8 million homes in the U.S. are now without power,"names a structure, road, service, line, etc. that is not working or has been damaged",RT @nytimes: More than 8 million homes in the U.S. are now without power post-storm: http://t.co/NxGQdZh8,53537,More than 8 million homes in the U.S. are now without power post-storm: http://t.co/NxGQdZh8,"Informative: damage (building, road, lines, etc.)",0.6938,"power
without power
8 million homes in the U.S. are now without power
homes
8 million homes in the U.S. are now without power
homes in the U.S. are now without power
8 million homes in the U.S. are now without power
homes in the U.S. are now without power
homes
power
without power
homes in the U.S. are now without power post-storm
8 million homes in the U.S. are now without power
homes in the U.S. are now without power
homes
power
without power
homes in the U.S. are now without power post-storm
homes in the U.S. are now without power post-storm
without power
power
homes
homes in the U.S. are now without power
8 million homes in the U.S. are now without power"
240632763,1/2/2013 15:09:30,true,797146945,false,1/2/2013 15:06:41,false,instagc,1.0,12960437,USA,WV,Point Pleasant,173.81.178.140,8 million homes in the U.S. are now without power,"names a structure, road, service, line, etc. that is not working or has been damaged",RT @nytimes: More than 8 million homes in the U.S. are now without power post-storm: http://t.co/NxGQdZh8,53537,More than 8 million homes in the U.S. are now without power post-storm: http://t.co/NxGQdZh8,"Informative: damage (building, road, lines, etc.)",0.6938,"power
without power
8 million homes in the U.S. are now without power
homes
8 million homes in the U.S. are now without power
homes in the U.S. are now without power
8 million homes in the U.S. are now without power
homes in the U.S. are now without power
homes
power
without power
homes in the U.S. are now without power post-storm
8 million homes in the U.S. are now without power
homes in the U.S. are now without power
homes
power
without power
homes in the U.S. are now without power post-storm
homes in the U.S. are now without power post-storm
without power
power
homes
homes in the U.S. are now without power
8 million homes in the U.S. are now without power"
240632763,1/2/2013 15:20:43,true,797152214,,1/2/2013 15:17:00,false,instagc,0.75,14475081,USA,TN,Dunlap,98.143.6.78,8 million homes in the U.S. are now without power,"names a structure, road, service, line, etc. that is not working or has been damaged",RT @nytimes: More than 8 million homes in the U.S. are now without power post-storm: http://t.co/NxGQdZh8,53537,More than 8 million homes in the U.S. are now without power post-storm: http://t.co/NxGQdZh8,"Informative: damage (building, road, lines, etc.)",0.6938,"power
without power
8 million homes in the U.S. are now without power
homes
8 million homes in the U.S. are now without power
homes in the U.S. are now without power
8 million homes in the U.S. are now without power
homes in the U.S. are now without power
homes
power
without power
homes in the U.S. are now without power post-storm
8 million homes in the U.S. are now without power
homes in the U.S. are now without power
homes
power
without power
homes in the U.S. are now without power post-storm
homes in the U.S. are now without power post-storm
without power
power
homes
homes in the U.S. are now without power
8 million homes in the U.S. are now without power"
240632763,1/2/2013 15:32:29,true,797157904,,1/2/2013 15:30:17,false,instagc,1.0,14049868,USA,OH,Toledo,131.183.0.122,without power,"names a structure, road, service, line, etc. that is not working or has been damaged",RT @nytimes: More than 8 million homes in the U.S. are now without power post-storm: http://t.co/NxGQdZh8,53537,More than 8 million homes in the U.S. are now without power post-storm: http://t.co/NxGQdZh8,"Informative: damage (building, road, lines, etc.)",0.6938,"power
without power
8 million homes in the U.S. are now without power
homes
8 million homes in the U.S. are now without power
homes in the U.S. are now without power
8 million homes in the U.S. are now without power
homes in the U.S. are now without power
homes
power
without power
homes in the U.S. are now without power post-storm
8 million homes in the U.S. are now without power
homes in the U.S. are now without power
homes
power
without power
homes in the U.S. are now without power post-storm
homes in the U.S. are now without power post-storm
without power
power
homes
homes in the U.S. are now without power
8 million homes in the U.S. are now without power"
240632763,1/2/2013 15:42:27,true,797163197,false,1/2/2013 15:40:36,false,golddiggergpt,0.9286,15038871,USA,FL,Port Richey,68.200.93.250,homes,"names a structure, road, service, line, etc. that is not working or has been damaged",RT @nytimes: More than 8 million homes in the U.S. are now without power post-storm: http://t.co/NxGQdZh8,53537,More than 8 million homes in the U.S. are now without power post-storm: http://t.co/NxGQdZh8,"Informative: damage (building, road, lines, etc.)",0.6938,"power
without power
8 million homes in the U.S. are now without power
homes
8 million homes in the U.S. are now without power
homes in the U.S. are now without power
8 million homes in the U.S. are now without power
homes in the U.S. are now without power
homes
power
without power
homes in the U.S. are now without power post-storm
8 million homes in the U.S. are now without power
homes in the U.S. are now without power
homes
power
without power
homes in the U.S. are now without power post-storm
homes in the U.S. are now without power post-storm
without power
power
homes
homes in the U.S. are now without power
8 million homes in the U.S. are now without power"
240632763,1/3/2013 10:42:22,true,798237936,true,1/3/2013 10:38:52,false,extralunchmoney,0.8636,15113061,USA,MI,Saint Johns,50.36.97.129,8 million homes,"names a structure, road, service, line, etc. that is not working or has been damaged",RT @nytimes: More than 8 million homes in the U.S. are now without power post-storm: http://t.co/NxGQdZh8,53537,More than 8 million homes in the U.S. are now without power post-storm: http://t.co/NxGQdZh8,"Informative: damage (building, road, lines, etc.)",0.6938,"power
without power
8 million homes in the U.S. are now without power
homes
8 million homes in the U.S. are now without power
homes in the U.S. are now without power
8 million homes in the U.S. are now without power
homes in the U.S. are now without power
homes
power
without power
homes in the U.S. are now without power post-storm
8 million homes in the U.S. are now without power
homes in the U.S. are now without power
homes
power
without power
homes in the U.S. are now without power post-storm
homes in the U.S. are now without power post-storm
without power
power
homes
homes in the U.S. are now without power
8 million homes in the U.S. are now without power"
240632764,1/2/2013 15:11:18,true,797147824,false,1/2/2013 15:06:03,false,instagc,0.75,14475081,USA,TN,Dunlap,98.143.6.78,The time for evacuation is over. Conditions are dangerous,warns about a potential hazard or advices what to do,RT @MikeBloomberg: The time for evacuation is over. Conditions are dangerous and will get worse. Please stay where you are #Sandy #NYC http://t.co/KQp2f2vX,90936,The time for evacuation is over. Conditions are dangerous and will get worse. Please stay where you are #Sandy #NYC http://t.co/KQp2f2vX,Informative: caution or advice,0.8847,"Please stay where you are
Please stay where you are #Sandy
Conditions are dangerous
Conditions are dangerous and will get worse
The time for evacuation is over
stay where you are
stay where you are #Sandy
stay where you are #Sandy #NYC 
Please stay where you are #Sandy #NYC 
The time for evacuation is over. Conditions are dangerous
Conditions are dangerous and will get worse. Please stay where you are
Please stay where you are
Conditions are dangerous and will get worse. Please stay where you are
evacuation
Conditions are dangerous and will get worse.
Conditions are dangerous and will get worse
The time for evacuation is over. Conditions are dangerous
Conditions are dangerous"
240632764,1/2/2013 15:13:14,true,797148629,,1/2/2013 15:07:55,false,instagc,1.0,14049868,USA,OH,Toledo,131.183.0.122,Please stay where you are,warns about a potential hazard or advices what to do,RT @MikeBloomberg: The time for evacuation is over. Conditions are dangerous and will get worse. Please stay where you are #Sandy #NYC http://t.co/KQp2f2vX,90936,The time for evacuation is over. Conditions are dangerous and will get worse. Please stay where you are #Sandy #NYC http://t.co/KQp2f2vX,Informative: caution or advice,0.8847,"Please stay where you are
Please stay where you are #Sandy
Conditions are dangerous
Conditions are dangerous and will get worse
The time for evacuation is over
stay where you are
stay where you are #Sandy
stay where you are #Sandy #NYC 
Please stay where you are #Sandy #NYC 
The time for evacuation is over. Conditions are dangerous
Conditions are dangerous and will get worse. Please stay where you are
Please stay where you are
Conditions are dangerous and will get worse. Please stay where you are
evacuation
Conditions are dangerous and will get worse.
Conditions are dangerous and will get worse
The time for evacuation is over. Conditions are dangerous
Conditions are dangerous"
240632764,1/2/2013 15:14:39,true,797149299,false,1/2/2013 15:06:57,false,instagc,0.875,14893322,USA,VA,Lynchburg,96.235.212.161,Conditions are dangerous and will get worse. Please stay where you are,warns about a potential hazard or advices what to do,RT @MikeBloomberg: The time for evacuation is over. Conditions are dangerous and will get worse. Please stay where you are #Sandy #NYC http://t.co/KQp2f2vX,90936,The time for evacuation is over. Conditions are dangerous and will get worse. Please stay where you are #Sandy #NYC http://t.co/KQp2f2vX,Informative: caution or advice,0.8847,"Please stay where you are
Please stay where you are #Sandy
Conditions are dangerous
Conditions are dangerous and will get worse
The time for evacuation is over
stay where you are
stay where you are #Sandy
stay where you are #Sandy #NYC 
Please stay where you are #Sandy #NYC 
The time for evacuation is over. Conditions are dangerous
Conditions are dangerous and will get worse. Please stay where you are
Please stay where you are
Conditions are dangerous and will get worse. Please stay where you are
evacuation
Conditions are dangerous and will get worse.
Conditions are dangerous and will get worse
The time for evacuation is over. Conditions are dangerous
Conditions are dangerous"
