text,is_negative,is_book,Y,category
"This is a great sandal, i bought i pair to replace a pair of simmilar sandals i had for 4 years. and i think they are just great, the footbed is VERY comfortable, and the leather strap is nice and soft. its just too bad i bought them at the end of summer cause i dont wanna take them off my feet",0,0,0,apparel
"I hate wearing bras, but this is by far the most comfortable bra I have ever worn",0,0,0,apparel
Thanks for the shoes.  they came very quickly and I like them a lot.  I got my street shoe size and they fit fine. ,0,0,0,apparel
"This extremely comfortable, good-looking and effective minimizer has enabled me to wear one size smaller.  Also, the straps never slip off the shoulder.  I wish I had found this bra years ag",0,0,0,apparel
As a new 36DD (can't wear underwire) this is the most supportive and comfortable bra on the market.  For the past 5 years (since my surgery) I've been searching for the perfect bra.  I have finally found it! ,0,0,0,apparel
"I found this tie as a Christmas present for my brother. The tie ""speaks out"" and says, ""Hey, I'm cool."" It is well designed and is an eye cather. Thank you for having it available! Sherry L. Schloss from Mtn. Home, I",0,0,0,apparel
The product was received in a timely manner and was as expected,0,0,0,apparel
"These slacks compare very favorably with pants in expensive ""Big Men"" type clothing stores, yet are quite affordable. I Have been very pleased with the look and durability of these trousers",0,0,0,apparel
"When I purchased this, I was under the false impression that the idea of a silicon skin was to provide the unit with some shock protection in the event that it were to get dropped. The skin is so thin, that it does nothing but keep a little bit of dust off of the buttons.The belt clip is made of brittle plastic and broke the second day that I used it.Don't waste your money, spend the extra bucks to get something that will last a while.",1,0,0,apparel
"I looked all over for these shapers.  These are great, fit all my boots perfectly and were delivered within three days.  Amazing",0,0,0,apparel
"Ever felt that your feet are killing you and that you want to throw of the offending shoes?  Yes for most women I am sure, but not with the Merrell Primo Chill Slide. Since my discovery of Merrell's Primo Chill Slides, walking, driving and popping out have been a joy.  It's not just the easy slide in (no laces) it's the warm inviting interior and cosy fit with a no slide sole.  I have lovely feet and with these stylish Merrell's I don't have to spoil them for fashion, which I never would but these Merrell's have made it easier",0,0,0,apparel
Lasts only 2 weeks! Try them if you don't believe me,1,0,0,automotive
Great product that fits the co-sleeper mattress/pad perfectly.  I loved the velcro on the sheet to ensure that it stayed in place on the mattress pad and to ensure that the pad stayed in place in the crib/co-sleeper.  Highly recommend,0,0,0,baby
"My 2 year old loved this cup, before he wouldnt drink out of a sippee cup only a prober glass but would alway spill it.  This cup is so bright he cant help but look at the items and tell me about whos in it, it helps also being bright I never lose it.  I hope this cup last over to be used by his brother.  The wide top makes it feel different than a reg cup.  I am buying more oif these",0,0,0,baby
"Same thing happened to me as the person from the previous review.  They sent a pink pillow instead of the crib set, and will not honor the same price for the bedding set.  I have to send it back and they will give a refund.  What a hassle",1,0,0,baby
"I bought this seat to bridge the gap between baby seat and booster seat for my 17mos old boy. He's 24 lbs and 32"" and the fit is fine. No issues with the harness system or the installation. It's not the most stylish seat, but for that price who really cares. Seems comfy, easily adjustable and has a cup holder. The boy likes it better than his Eddie Bauer baby seat that cost 3 times as much.",0,0,0,baby
This product is better then most. Now I am sure if you want to pay over$100.00 for a monitor it MAY be better but for the price and what I need it for it works GREAT!!!! I love the choice of channels and that if the baby is sleeping I do not have to hear static and hope I can hear if he is chocking. If the baby moves this monitor picks it up. Also the light indication is a plus.Great monitor! I would recommend this product,0,0,0,baby
"I used this soap, and I was blown away by its scent. All my girlfriends absolutely love it, and its my favorite buy. Will definitely be getting more of these",0,0,0,beauty
"To those of you saying ""it doesn't last, I can't smell it half-way through the day"", you're not supposed to be able to smell your own cologne, if you can, you've put too much on and will most likely offend people with your overbearing scent!!!!It smells great and lasts as long as any other cologne I've tried",0,0,0,beauty
"The emotionally healing benefits of orange oil and lavender become immediately apparent when you apply this to your scalp. If you can find someone to give you a head massage with this product, then you can truly relax. If applying this yourself, it works well as an at home hair treatment to nourish the hair follicles and promote healthy hair growth. You will also notice your hair becoming stronger and retaining a much deeper shine. The essential oils in this product help to activate micro-circulation which may cause a slight tingling and warming of the scalp. Leave this in for about 5-10 minutes and then wash your hair as normal. You may find you need less conditioner when using this product. Many hairdressers will use this product when giving a conditioning head massage and that is where I first found out about this product. I bought my first bottle the day I had the massage. I was that impressed and I keep buying this product. ~The Rebecca Review",0,0,0,beauty
