Authors,Title,Year,Source title,Link,Abstract,Document Type,Source,EID,abstract_structured,filter_OA_include,filter_study_include,notes
"Dolničar V., Grošelj D., Filipovič Hrast M., Vehovar V., Petrovčič A.",The role of social support networks in proxy Internet use from the intergenerational solidarity perspective,2018,Telematics and Informatics,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85042285324&doi=10.1016%2fj.tele.2017.12.005&partnerID=40&md5=b60f466f703a9f58a2978b524b78de84,"Digital inequalities research has documented a set of practices related to people's Internet use that questions the binary division between Internet users and non-users. In particular, among older adults, a considerably large group of individuals has been identified as not using the Internet by themselves; rather, they ask members of their personal networks to do things online for them—they “use” the Internet by proxy. Since previous research shows that children and grandchildren are important sources of help when it comes to Internet use, the current paper indicates that the notion of intergenerational solidarity is a sound conceptual basis for understanding the relationship between social support networks and proxy Internet use among Internet non-users. Notably, the concept of functional solidarity as a dimension of intergenerational solidarity is advanced, as this relates to the frequency of the intergenerational exchange of resources and services encompassing various types of assistance and support offered between two generations. Empirically, this paper investigates how the two types of social support networks and their characteristics are associated with proxy Internet use. The results from multivariate analyses of survey data from a nation-wide representative sample show that when comparing emotional support and socializing networks, only the latter is associated with proxy Internet use: Internet non-users who have (grand-)children in their socializing support network are more likely to engage in proxy Internet use. The results also indicate that non-users who are younger, more educated, have children, and live in urban areas are more inclined to engage in proxy Internet use, regardless of the type of social support. The findings indicate the importance of empirical investigation related to different aspects of functional solidarity, as the effects on proxy Internet use depend on the type of social support. © 2017",Article,Scopus,2-s2.0-85042285324,0,0,0,broader
"Joe J., Hall A., Chi N.-C., Thompson H., Demiris G.",IT-based wellness tools for older adults: Design concepts and feedback,2018,Informatics for Health and Social Care,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85016119005&doi=10.1080%2f17538157.2017.1290637&partnerID=40&md5=d1b1832d7540c8537ad49d715309aa8b,"Objective: To explore older adults’ preferences regarding e-health applications through use of generated concepts that inform wellness tool design. Methods: The 6-8-5 method and affinity mapping were used to create e-health design ideas that were translated into storyboards and scenarios. Focus groups were conducted to obtain feedback on the prototypes and included participant sketching. A qualitative analysis of the focus groups for emerging themes was conducted, and sketches were analyzed. Results: Forty-three older adults participated in six focus group sessions. The majority of participants found the wellness tools useful. Preferences included features that supported participants in areas of unmet needs, such as ability to find reliable health information, cognitive training, or maintaining social ties. Participants favored features such as use of voice navigation, but were concerned over cost and the need for technology skills and access. Sketches reinforced these wants, including portability, convenience, and simplicity. Conclusions: Several factors were found to increase the desirability of such devices including convenient access to their health and health information, a simple, accessible interface, and support for memory issues. Researchers and designers should incorporate the feedback of older adults regarding wellness tools, so that future designs meet the needs of older adults. © 2017 Taylor & Francis.",Article,Scopus,2-s2.0-85016119005,1,1,0,
"Momeni M., Hariri N., Nobahar M., Noshinfard F.",Older adults experiences of online social interactions: A phenomenological study,2018,Koomesh,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85044209383&partnerID=40&md5=8e7d3696529db8d226bde6114a2e524a,"Introduction: Online social networks allow users, who are anywhere in the world, to communicate with other people with text, audio, and video. Studies have shown that older adults use of social networks and online communication can increase social support, improve quality of life and increase their health. The purpose of this study was to understand the older adult's experiences of online Social Interactions. Materials and Methods: This study was performed following a qualitative approach and phenomenological methodology in Semnan (Iran) in 2016. The studied sample was taken by purposive sampling method. Required data was collected via deep and semi-structured interviews with 9 older adults who were active members of at least one online social network. The obtained data was analyzed using the seven-step Colaizzi's method. Results: From data analysis, the main theme of ""developed social interactions"" was extracted from five sub-themes: ""interaction with family and friends"", ""revival of old relationships"", ""familiar with people with common interests"", ""impalpable control"" and ""liberation from loneliness"". Conclusion: The results explained the various dimensions of the use of the older adults from online social networks and showed that these networks have the potential to be used to enhance social interactions in aging. The results of this study can help planners by identifying the benefits of these networks, while taking necessary interventions to increase the use of the elderly from these networks, promote social interactions and, consequently, promote the health of the elderly. © 2018, Semnan University of Medical Sciences. All rights reserved.",Article,Scopus,2-s2.0-85044209383,1,1,0,
"Chen C.-C., Lin Y.-C.","What drives live-stream usage intention? The perspectives of flow, entertainment, social interaction, and endorsement",2018,Telematics and Informatics,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85040066051&doi=10.1016%2fj.tele.2017.12.003&partnerID=40&md5=0e2d709699ad80542836e85fd1097f29,"Live-stream is the real-time audio and video transmission of an event over the Internet. Since a live-stream can also be interactive, it has some of the characteristics of a small community. People often become addicted to television, movies, or video blogs for the sake of entertainment. They can also become blind and obsessive about worshiping popular idols. Moreover, their willingness to use media is affected by their own perception of the media or their expectation of the benefits. This study therefore proposes four key factors: flow, entertainment, social interaction, and endorsement. We use path analysis to test their relationships with attitude, perceived value and watching intention to understand the influential factors and channels that induce audiences to watch live-streaming events. Analysis of 313 valid responses to a survey questionnaire indicate that approximately 65% of Taiwanese people watch live-streams via social network sites. In general, they watched live-streams simply because they liked to do so. The main reason behind their favorable impression of live-streaming was that live-streams made people happy and relieved stress. Secondly, people were attracted by the charm of the streamers, but the attraction differs slightly by gender. Females developed a more favorable impression of a live-stream when they admired the streamer. Males, on the other hand, developed a more favorable impression of a live-stream when they interacted with the streamer or other audience members. Young people tended to like live-streaming because it gave them a sense of flow, while older people were not affected by flow. This study contributes to the development of live-stream services and future studies on live-streaming. © 2017 Elsevier Ltd",Article,Scopus,2-s2.0-85040066051,0,0,0,
"Lilburn L.E.R., Breheny M., Pond R.","You're not really a visitor, you're just a friend': How older volunteers navigate home visiting",2018,Ageing and Society,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85007416081&doi=10.1017%2fS0144686X16001380&partnerID=40&md5=6a0767b318f42add5f054a0f85920ef9,"At the intersection of increasing social support needs due to population ageing and the promotion of older age as a time of contribution and social connection, volunteering is an important focus with advantages for older people. One service that addresses both these imperatives is home visiting services. Home visiting services connect home visitors with isolated older people. To examine how older people navigate volunteering for a home visiting service, six visitors were interviewed and the interviews were analysed using discourse analysis. A professionalism discourse was used to construct home visiting as a structured social support service that improved the lives of isolated older people. A personal relationship discourse constructed home visiting as an opportunity to forge long-term relationships that benefit both parties. At times these two discourses created tension for home visitors. Examining how the home visiting service is described by the service organisation online explains these tensions. The online materials construct active older volunteers as providing professional services while those they visit are constructed as receiving friendship. These discourses provide different ageing identities for visitors from those they visit, which contributes to the difficulties in navigating home visiting services. Addressing these tensions will enable service co-ordinators to better meet the needs of both visitors and clients in the context of increasing need for such services. © Cambridge University Press 2016.",Article,Scopus,2-s2.0-85007416081,0,1,0,
Pype K.,Dead Media Objects and the Experience of the (Once) Modern. Ethnographic Perspectives from the Living Rooms of Kinshasa’s Old Aged,2018,Ethnos,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84966707933&doi=10.1080%2f00141844.2015.1119177&partnerID=40&md5=86f8c6e920547ca992c0338aa4c052b7,"This article departs from the observation that in many living rooms of elderly Kinois (inhabitants of Kinshasa), old and defunctive radio and television sets are put on display. When their primary function, to inform, has been rendered obsolete, we are faced with the question why people continue to display these objects, often next to newer models, in their living rooms. The main argument is that Information and Communication Technologies (ICT) commodities, old and new, defective and repaired, are primarily social objects that are embedded in complex webs of practices and expectations which unsettle the taken-for-granted associations between technology and time. ICT objects are shown to be metonyms of dynamics in social relationships between owners of these ICT goods and others; and, although seemingly paradoxically, these same objects, even when damaged, inhabit promises for a better future. The article thus offers an alternative perspective on electronic modernity, and in particular, the role of Africa therein. © 2016 Informa UK Limited, trading as Taylor & Francis Group.",Article,Scopus,2-s2.0-84966707933,0,maybe,0,
"Castro Rojas M.D., Bygholm A., Hansen T.G.B.",Exercising older people´s brains in Costa Rica: Design principles for using information and communication technologies for cognitive activity and social interaction,2018,Educational Gerontology,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85042518688&doi=10.1080%2f03601277.2018.1433485&partnerID=40&md5=d37c0e81e4a4a05d69957b7f5112ce30,"This study is part of a design-based research project aimed at designing a learning intervention for enabling Costa Rican older people to use information and communication technologies for cognitive activity and social interaction. Data from relevant literature, a focus group with older adults, and interviews with professionals teaching older adults how to use information and communication technologies were analyzed, in order to create context-sensitive design principles that could guide the design of learning interventions that meet the needs of older learners. The analysis derived context-sensitive design principles that include wider topics that influence the learning process, such as emotions and stereotypes related to learning about and using information and communication technologies, as well as the social support to that learning. The resulting eight design principles argue for respectful learning environments, in-depth comprehension of changes related to aging, time and space to reflect on emotions related to the learning process, and acknowledgment of participants’ individuality. © 2018 Taylor & Francis.",Article,Scopus,2-s2.0-85042518688,0,1,0,
Nimrod G.,Technophobia among older Internet users,2018,Educational Gerontology,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85040988674&doi=10.1080%2f03601277.2018.1428145&partnerID=40&md5=dc1792b83778d09b4797f1c4c35fd33d,"Internet use may be helpful in maintaining older adults’ independence, social connectedness, and quality of life. High levels of technophobia (fear of modern technologies or discomfort with them), however, may constrain older Internet users’ online activity and limit the benefits they derive therefrom. The literature on technophobia in later life tends to focus on nonusers and ignore older individuals who already use advanced technologies. Relying on an online survey of 537 Internet users aged 60 and up, this study explored the extent to which technophobia constrains older users’ online activity. The results demonstrated varying levels of technophobia among users and significant associations between technophobia and Internet use patterns, including type and complexity of use. Technophobia also correlated with users’ education, perceived health and well-being: Technophobes tended to be less satisfied with their lives—a correlation that remained significant even after controlling for background variables and online activities. The findings suggest that technophobia plays a role at both the first and second levels of the digital divide among seniors. They also indicate that technophobia may be a risk factor in later life, suggesting that older users ought to be taken into account in planning measures to reduce technophobia among seniors. © 2018 Taylor & Francis.",Article,Scopus,2-s2.0-85040988674,0,1,0,
"Zamir S., Hennessy C.H., Taylor A.H., Jones R.B.",Video-calls to reduce loneliness and social isolation within care environments for older people: An implementation study using collaborative action research,2018,BMC Geriatrics,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85042877274&doi=10.1186%2fs12877-018-0746-y&partnerID=40&md5=08b614b64bb57f5ffe410d420d8db997,"Background: Older people in care may be lonely with insufficient contact if families are unable to visit. Face-to-face contact through video-calls may help reduce loneliness, but little is known about the processes of engaging people in care environments in using video-calls. We aimed to identify the barriers to and facilitators of implementing video-calls for older people in care environments. Methods: A collaborative action research (CAR) approach was taken to implement a video-call intervention in care environments. We undertook five steps of recruitment, planning, implementation, reflection and re-evaluation, in seven care homes and one hospital in the UK. The video-call intervention 'Skype on Wheels' (SoW) comprised a wheeled device that could hold an iPad and handset, and used Skype to provide a free video-call service. Care staff were collaborators who implemented the intervention within the care-setting by agreeing the intervention, recruiting older people and their family, and setting up video-calls. Field notes and reflective diaries on observations and conversations with staff, older people and family were maintained over 15 months, and analysed using thematic analysis. Results: Four care homes implemented the intervention. Eight older people with their respective social contacts made use of video-calls. Older people were able to use SoW with assistance from staff, and enjoyed the use of video-calls to stay better connected with family. However five barriers towards implementation included staff turnover, risk averseness, the SoW design, lack of family commitment and staff attitudes regarding technology. Conclusions: The SoW intervention, or something similar, could aid older people to stay better connected with their families in care environments, but if implemented as part of a rigorous evaluation, then co-production of the intervention at each recruitment site may be needed to overcome barriers and maximise engagement. © 2018 The Author(s).",Article,Scopus,2-s2.0-85042877274,1,1,1,
"Ahmed T., Belanger E., Vafaei A., Koné G.K., Alvarado B., Béland F., Zunzunegui M.V., IMIAS Research Group",Validation of a Social Networks and Support Measurement Tool for Use in International Aging Research: The International Mobility in Aging Study,2018,Journal of Cross-Cultural Gerontology,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85042200580&doi=10.1007%2fs10823-018-9344-x&partnerID=40&md5=2036b618b6d820875b1e6a36c4da53c7,"The purpose of this study was to develop and validate a new instrument to assess social networks and social support (IMIAS-SNSS) for different types of social ties in an international sample of older adults. The study sample included n = 1995 community dwelling older people aged between 65 and 74 years from the baseline of the longitudinal International Mobility in Aging Study (IMIAS). In order to measure social networks for each type of social tie, participants were asked about the number of contacts, the number of contacts they see at least once a month or have a very good relationship with, or speak with at least once a month. For social support, participants had to rate the level of social support provided by the four types of contacts for five Likert scale items. Confirmatory Factor Analysis was conducted to determine the goodness of fit of the measurement models. Satisfactory goodness-of-fit indices confirmed the satisfactory factorial structure of the IMIAS-SNSS instrument. Reliability coefficients were 0.80, 0.81, 0.85, and 0.88 for friends, children, family, and partner models, respectively. The models were confirmed by CFA for each type of social tie. Moreover, IMIAS-SNSS detected gender differences in the older adult populations of IMIAS. These results provide evidence supporting that IMIAS-SNSS is a psychometrically sound instrument and of its validity and reliability for international populations of older adults. © 2018, Springer Science+Business Media, LLC, part of Springer Nature.",Article,Scopus,2-s2.0-85042200580,0,1,0,
